,edgeR_exact,edgeR_glm,edgeR_rob_pDF10,edgeR_rob_pDF05,edgeR_rob_pDF20,edgeR_rob_auto.pDF,edgeR_ql,DESeq,DESeq2_indFilterDeactive,DESeq2_indFilterDeactiveCooksOff,DESeq2_indFilterActive,LimmaQN,LimmaVoom,LimmaVoom_Robust,LimmaTrended,LimmaTrended_Robust,LimmaVoom_QW,LimmaVst,BaySeq,PoissonSeq,SAMSeq,QuasiSeq_QL,QuasiSeq_QLShrink,QuasiSeq_QLSpline,NOISeq,StR
119,0.00403893,0.000466499,0.000456967,0.000456964,0.000455561,0.000456924,0.000446366,0.162039641,0.30100617,0.30100617,0.30100617,0.001259379,3.14E-05,3.22E-05,0.00129742,0.001241526,1.81E-05,0.00094415,0.022779184,0.008165803,0.06788,7.84E-07,8.03E-07,8.64E-07,0.41541833,0.784217924
120,4.60E-200,8.50E-212,6.37E-248,3.00E-258,5.97E-238,2.26E-274,8.21E-22,7.34E-79,4.51E-140,4.51E-140,4.51E-140,5.10E-44,1.11E-43,1.23E-43,2.31E-40,5.58E-41,6.38E-45,5.17E-39,0,0,0,2.53E-36,4.39E-38,2.73E-38,0,17.23198485
121,3.52E-113,7.54E-120,1.06E-146,8.62E-161,1.55E-133,9.00E-189,5.45E-19,1.52E-69,3.95E-108,3.95E-108,3.95E-108,1.14E-39,1.12E-41,1.23E-41,2.15E-34,4.99E-35,6.64E-43,3.34E-35,0,0,0,6.03E-33,3.16E-34,3.25E-34,7.77E-16,12.18494344
122,1.06E-36,8.70E-38,1.12E-42,2.20E-44,2.16E-40,9.51E-47,1.24E-12,7.92E-21,1.06E-39,1.06E-39,1.06E-39,6.97E-25,2.76E-27,2.98E-27,1.50E-17,2.03E-17,4.99E-28,6.34E-28,0,0,0,7.19E-22,1.23E-22,2.43E-22,0,4.175328182
123,1.55E-25,6.53E-27,2.44E-27,6.49E-27,6.50E-28,1.93E-26,7.55E-10,7.84E-14,1.13E-27,1.13E-27,1.13E-27,2.49E-14,1.85E-18,2.14E-18,5.08E-11,6.08E-11,8.34E-18,1.95E-19,1.75E-13,1.04E-05,0,2.98E-16,4.47E-17,5.97E-17,4.77E-15,2.368599577
124,1.85E-94,5.09E-96,7.62E-114,3.09E-125,4.68E-104,6.04E-147,1.75E-18,1.52E-63,4.39E-95,4.39E-95,4.39E-95,1.30E-39,5.72E-40,6.31E-40,1.87E-32,4.55E-33,1.05E-40,4.62E-35,0,0,0,2.79E-32,3.71E-33,2.67E-33,0,10.73716027
125,4.19E-187,1.10E-201,7.13E-261,5.92878775009496e-323,1.06E-212,0,2.04E-24,5.31E-74,8.67E-137,8.67E-137,8.67E-137,2.05E-51,3.65E-50,4.42E-50,2.21E-43,8.63E-45,1.17E-51,2.45E-45,0,0,0,2.31E-45,8.48E-45,9.84E-45,3.33E-16,25.15059695
126,8.62E-39,3.80E-39,1.42E-44,1.41E-43,3.11E-46,2.13E-42,1.89E-11,8.82E-18,9.81E-47,9.81E-47,9.81E-47,2.05E-18,1.19E-22,1.44E-22,2.65E-15,2.59E-15,1.33E-20,3.51E-21,7.76E-16,0,0,2.01E-19,1.92E-20,1.00E-20,0,3.230777867
127,2.81E-164,8.30E-178,9.91E-214,1.98E-222,1.02E-203,1.57E-236,6.06E-21,1.10E-77,7.62E-131,7.62E-131,7.62E-131,3.86E-41,6.50E-43,7.13E-43,1.04E-37,2.54E-38,1.86E-42,5.39E-37,0,0,0,1.58E-35,3.81E-37,1.25E-37,1.11E-15,14.23010936
128,1.90E-15,2.34E-16,4.50E-16,2.87E-15,3.11E-17,1.90E-14,6.77E-07,1.21E-10,2.52E-15,2.52E-15,2.52E-15,9.95E-07,2.70E-09,2.89E-09,2.38E-05,2.52E-05,3.64E-10,8.29E-12,9.00E-10,5.01E-05,0,6.92E-11,1.64E-11,1.67E-11,4.44E-16,1.240363403
129,2.31E-110,5.50E-114,1.63E-137,1.21E-157,3.63E-121,2.53E-201,1.05E-19,2.56E-65,2.48E-104,2.48E-104,2.48E-104,8.33E-37,3.13E-40,3.43E-40,1.11E-33,2.41E-34,2.83E-41,7.00E-37,0,0,0,7.28E-35,1.32E-35,1.55E-35,2.89E-15,11.51558706
